draw,form,team,loss,played,points,short_name,overallStrength,defenceStrength,attackStrength,strength,win,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,red_cards,round,starts,team_a_score,team_h_score,threat,total_points,transfers_in,value,was_home,yellow_cards,player_ID,position,oppStrength
0,-2.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,6,0,2.3,0.4,0.52,0.12,2,0,3.7,21.6,72,16,0,0,1,13,1,3,2,13.0,-2,9726,50,False,0,129,DEF,3
0,0.0,4,0,0,0,BRE,1100,1090,1110,3,0,0,0,-3,0,0.5,0.0,0.0,0.0,2,0,0.7,4.6,70,2,0,0,1,17,1,2,1,2.0,-2,11074,48,True,0,109,DEF,4
0,-3.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,-3,0,10.5,0.03,0.03,0.0,3,0,1.8,7.2,85,12,1,0,0,19,1,3,2,0.0,-2,4172,44,True,1,576,DEF,2
0,0.0,19,0,0,0,WHU,1145,1150,1140,3,0,0,0,-3,0,11.3,0.04,0.04,0.0,2,0,2.3,7.2,90,17,0,0,1,21,1,2,2,4.0,-2,92553,47,False,0,528,DEF,2
0,0.0,11,0,0,0,LIV,1370,1390,1350,4,0,0,0,4,0,12.1,0.02,0.02,0.0,3,0,3.4,22.2,87,1,0,0,1,23,1,1,3,0.0,-2,8052,49,False,0,302,DEF,5
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,12,0,7.7,0.02,0.02,0.0,4,0,2.6,12.0,90,20,1,0,0,23,1,4,2,6.0,-2,3547,49,True,0,611,DEF,3
0,-2.5,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,9,0,14.5,0.19,0.19,0.0,5,0,3.5,18.0,90,5,1,0,0,25,1,5,0,2.0,-2,225,43,True,0,576,DEF,3
0,0.0,15,0,0,0,NEW,1280,1355,1210,3,0,0,0,5,0,0.4,0.0,0.0,0.0,4,0,1.6,15.8,72,1,1,0,0,26,1,1,4,0.0,-2,14375,45,False,0,405,DEF,5
0,0.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,8,0,0.8,0.06,0.06,0.0,6,0,1.8,13.2,90,7,0,0,0,33,1,0,6,4.0,-2,11763,46,False,1,265,DEF,3
0,-3.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,0,0,10.8,0.01,0.01,0.0,6,0,1.4,0.0,90,7,0,0,0,33,1,0,6,4.0,-2,2742,44,False,1,588,DEF,3
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,6,0,0.1,0.0,0.0,0.0,5,0,2.7,26.8,90,13,1,0,0,33,1,1,5,0.0,-2,385,40,False,0,798,DEF,5
0,0.0,19,0,0,0,WHU,1145,1150,1140,3,0,0,0,8,0,3.3,0.01,0.01,0.0,5,0,1.0,6.4,90,8,1,0,0,34,1,2,5,0.0,-2,5166,44,False,0,532,DEF,3
0,-3.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,-1,0,1.3,0.01,0.01,0.0,3,0,0.8,4.8,90,16,0,0,1,36,1,3,1,2.0,-2,1616,43,True,0,471,DEF,3
0,-3.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,-7,0,0.8,0.0,0.0,0.0,1,0,0.0,0.0,19,5,0,0,1,37,0,2,1,0.0,-2,1216,53,False,0,206,DEF,3
0,0.0,2,0,0,0,AVL,1285,1350,1220,4,0,0,0,1,0,1.8,0.0,0.74,0.74,4,0,1.7,3.8,86,15,0,0,0,1,1,1,5,11.0,-1,0,45,False,1,36,DEF,3
0,0.0,2,0,0,0,AVL,1285,1350,1220,4,0,0,0,13,0,45.2,0.15,0.15,0.0,5,0,6.0,13.2,90,15,0,0,0,1,1,1,5,2.0,-1,0,45,False,1,42,DEF,3
